date,open,high,low,close
2015-08-24,1585.018,1593.302,1531.104,1531.319
2015-08-25,1423.84,1464.699,1419.293,1421.344
2015-08-26,1420.361,1469.142,1359.818,1377.131
2015-08-27,1401.084,1425.88,1351.823,1425.88
2015-08-28,1448.87,1505.855,1435.846,1503.781
2015-08-31,1495.692,1495.692,1451.467,1459.649
2015-09-01,1439.451,1439.451,1374.401,1387.643
2015-09-02,1324.53,1415.132,1322.676,1371.875
2015-09-07,1383.93,1423.477,1361.622,1371.162
2015-09-08,1357.337,1423.753,1344.248,1421.518
2015-09-09,1427.632,1476.372,1424.105,1465.193
2015-09-10,1441.206,1467.354,1434.311,1439.533
2015-09-11,1435.586,1458.485,1426.965,1447.257
2015-09-14,1452.712,1456.494,1341.757,1345.669
2015-09-15,1309.122,1335.092,1271.602,1276.124
2015-09-16,1280.775,1364.951,1276.584,1360.285
2015-09-17,1357.661,1399.172,1340.131,1340.131
2015-09-18,1349.69,1364.014,1332.122,1354.046
2015-09-21,1338.445,1406.397,1333.601,1406.14
2015-09-22,1412.236,1432.952,1397.883,1416.965
2015-09-23,1392.959,1422.902,1390.589,1405.565
2015-09-24,1413.63,1428.381,1403.647,1421.76
2015-09-25,1415.591,1424.68,1366.31,1375.883
2015-09-28,1378.369,1407.786,1357.859,1406.778
2015-09-29,1383.819,1404.62,1377.035,1387.268
2015-09-30,1393.983,1401.053,1377.371,1392.944
2015-10-08,1439.585,1461.77,1429.944,1450.173
2015-10-09,1447.623,1477.68,1443.936,1470.249
2015-10-12,1479.379,1548.466,1479.379,1531.879
2015-10-13,1520.684,1552.086,1515.524,1548.468
2015-10-14,1542.097,1555.582,1525.497,1528.691
2015-10-15,1521.869,1576.941,1521.869,1576.941
2015-10-16,1588.319,1597.847,1562.611,1593.709
2015-10-19,1600.313,1611.689,1574.303,1596.234
2015-10-20,1593.414,1629.053,1587.551,1629.053
2015-10-21,1629.453,1636.765,1521.607,1527.248
2015-10-22,1524.494,1584.571,1520.021,1582.364
2015-10-23,1593.238,1628.526,1584.714,1622.02
2015-10-26,1645.022,1653.858,1615.36,1641.421
2015-10-27,1626.784,1660.077,1571.435,1650.837
2015-10-28,1638.95,1663.209,1604.626,1611.702
2015-10-29,1622.232,1639.576,1595.427,1620.814
2015-10-30,1618.521,1647.733,1591.822,1623.52
2015-11-02,1583.28,1637.961,1577.883,1586.364
2015-11-03,1590.739,1602.207,1569.173,1583.574
2015-11-04,1591.168,1666.49,1591.168,1666.49
2015-11-05,1670.488,1688.495,1648.39,1661.548
2015-11-06,1665.588,1709.089,1665.588,1706.999
2015-11-09,1696.875,1746.557,1683.916,1738.417
2015-11-10,1730.976,1761.45,1723.776,1751.531
2015-11-11,1755.004,1780.627,1743.708,1778.939
2015-11-12,1790.051,1795.427,1753.61,1779.652
2015-11-13,1760.66,1771.46,1724.01,1743.987
2015-11-16,1713.87,1783.556,1712.86,1783.556
2015-11-17,1801.56,1813.922,1764.93,1769.117
2015-11-18,1770.245,1779.905,1729.204,1733.651
2015-11-19,1740.395,1789.593,1740.256,1789.593
2015-11-20,1799.042,1819.148,1787.445,1809.35
2015-11-23,1808.145,1828.202,1789.956,1798.292
2015-11-24,1796.886,1815.61,1775.709,1815.61
2015-11-25,1817.856,1853.564,1815.097,1851.508
2015-11-26,1860.142,1862.383,1826.813,1830.621
2015-11-27,1820.349,1826.692,1700.251,1713.299
2015-11-30,1716.529,1736.969,1633.969,1727.244
2015-12-01,1723.033,1740.424,1700.927,1721.679
2015-12-02,1718.746,1724.941,1659.899,1714.832
2015-12-03,1717.968,1756.601,1717.968,1756.601
2015-12-04,1750.083,1764.315,1730.192,1742.867
2015-12-07,1745.89,1765.477,1732.844,1763.761
2015-12-08,1755.784,1755.784,1725.088,1729.121
2015-12-09,1720.059,1739.1,1713.284,1727.577
2015-12-10,1727.314,1744.583,1722.618,1726.715
2015-12-11,1720.613,1730.581,1707.895,1713.756
2015-12-14,1698.672,1749.85,1694.993,1749.85
2015-12-15,1755.252,1778.26,1754.786,1770.211
2015-12-16,1777.188,1792.232,1773.928,1780.762
2015-12-17,1794.003,1821.344,1794.003,1821.344
2015-12-18,1822.403,1827.443,1805.113,1814.452
2015-12-21,1811.008,1828.055,1809.432,1825.737
2015-12-22,1829.639,1841.568,1815.731,1841.568
2015-12-23,1841.438,1845.305,1812.716,1817.715
2015-12-24,1812.701,1818.308,1787.02,1812.604
2015-12-25,1816.174,1831.092,1813.912,1826.664
2015-12-28,1833.566,1842.43,1791.406,1791.406
2015-12-29,1789.631,1813.911,1778.633,1813.911
2015-12-30,1818.267,1832.678,1812.892,1831.665
2015-12-31,1833.033,1837.187,1797.896,1797.896
2016-01-04,1795.159,1795.159,1645.11,1645.277
2016-01-05,1565.107,1647.413,1555.075,1612.463
2016-01-06,1621.964,1648.228,1603.307,1648.228
2016-01-07,1616.411,1616.411,1507.015,1508.982
2016-01-08,1541.915,1559.358,1448.759,1524.863
2016-01-11,1491.553,1513.568,1424.491,1425.272
2016-01-12,1426.3,1452.247,1400.189,1433.621
2016-01-13,1440.619,1452.141,1385.244,1385.244
2016-01-14,1341.388,1439.023,1339.435,1436.839
2016-01-15,1426.285,1440.016,1381.87,1390.367
2016-01-18,1361.969,1431.762,1361.835,1415.898
2016-01-19,1412.514,1469.083,1409.825,1466.878
2016-01-20,1457.303,1477.796,1442.068,1450.872
2016-01-21,1426.935,1465.704,1393.577,1393.577
2016-01-22,1408.865,1416.952,1366.78,1407.827
2016-01-25,1420.396,1435.082,1405.556,1419.611
